[?1034h+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
       - RowsProduced: 1.26K (1261)
       - TotalCpuTime: 2s504ms
       - TotalNetworkWaitTime: 1s819ms
       - TotalStorageWaitTime: 28.476ms
      CodeGen:(Active: 776.789ms, % non-child: 43.73%)
         - CodegenTime: 12.608ms
         - CompileTime: 760.644ms
         - LoadTime: 14.423ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=14):(Active: 362.294us, % non-child: 0.03%)
         - BytesSent: 19.42 KB
         - NetworkThroughput(*): 14.19 MB/sec
         - OverallThroughput: 67.28 MB/sec
         - PeakMemoryUsage: 50.66 KB
         - SerializeBatchTime: 261.120us
         - ThriftTransmitTime(*): 1.421ms
         - UncompressedRowBatchSize: 34.49 KB
      AGGREGATION_NODE (id=7):(Active: 1s614ms, % non-child: 0.27%)
         - BuildBuckets: 1.54K (1536)
         - BuildTime: 1.392ms
         - GetResultsTime: 65.323us
         - LoadFactor: 0.56 
         - PeakMemoryUsage: 1.91 MB
         - RowsReturned: 1.26K (1261)
         - RowsReturnedRate: 768.00 /sec
      HASH_JOIN_NODE (id=6):(Active: 1s609ms, % non-child: 0.00%)
         - BuildBuckets: 1.02K (1024)
         - BuildRows: 520
         - BuildTime: 23.780us
         - LeftChildRows: 183.63K (183631)
         - LeftChildTime: 4.192ms
         - LoadFactor: 0.44 
         - PeakMemoryUsage: 311.30 KB
         - RowsReturned: 13.07K (13072)
         - RowsReturnedRate: 8.00 K/sec
        EXCHANGE_NODE (id=13):(Active: 428.878ms, % non-child: 26.34%)
           - BytesReceived: 9.21 KB
           - ConvertRowBatchTime: 14.542us
           - DataArrivalWaitTime: 428.840ms
           - DeserializeRowBatchTimer: 58.442us
           - FirstBatchArrivalWaitTime: 427.870ms
           - PeakMemoryUsage: 23.36 KB
           - RowsReturned: 520
           - RowsReturnedRate: 1.22 K/sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
      HASH_JOIN_NODE (id=5):(Active: 1s604ms, % non-child: 0.00%)
         - BuildBuckets: 1.02K (1024)
         - BuildRows: 12
         - BuildTime: 7.562us
         - LeftChildRows: 188.12K (188115)
         - LeftChildTime: 5.939ms
         - LoadFactor: 0.01 
         - PeakMemoryUsage: 226.00 KB
         - RowsReturned: 183.63K (183631)
         - RowsReturnedRate: 112.47 K/sec
        EXCHANGE_NODE (id=12):(Active: 687.278ms, % non-child: 41.24%)
           - BytesReceived: 207.00 B
           - ConvertRowBatchTime: 4.123us
           - DataArrivalWaitTime: 687.253ms
           - DeserializeRowBatchTimer: 10.103us
           - FirstBatchArrivalWaitTime: 686.386ms
           - PeakMemoryUsage: 4.09 KB
           - RowsReturned: 12
           - RowsReturnedRate: 17.00 /sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
      HASH_JOIN_NODE (id=4):(Active: 1s268ms, % non-child: 1.72%)
         - BuildBuckets: 1.02K (1024)
         - BuildRows: 251
         - BuildTime: 17.630us
         - LeftChildRows: 824.30K (824299)
         - LeftChildTime: 19.228ms
         - LoadFactor: 0.19 
         - PeakMemoryUsage: 140.00 KB
         - RowsReturned: 188.12K (188115)
         - RowsReturnedRate: 151.54 K/sec
        EXCHANGE_NODE (id=11):(Active: 702.362ms, % non-child: 61.11%)
           - BytesReceived: 2.66 KB
           - ConvertRowBatchTime: 9.315us
           - DataArrivalWaitTime: 702.329ms
           - DeserializeRowBatchTimer: 19.160us
           - FirstBatchArrivalWaitTime: 701.406ms
           - PeakMemoryUsage: 5.96 KB
           - RowsReturned: 251
           - RowsReturnedRate: 482.00 /sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
      HDFS_SCAN_NODE (id=0):(Active: 542.859ms, % non-child: 36.11%)
         - AverageHdfsReadThreadConcurrency: 0.00 
         - AverageScannerThreadConcurrency: 1.25 
         - BytesRead: 185.23 MB
         - BytesReadLocal: 185.23 MB
         - BytesReadShortCircuit: 185.23 MB
         - NumDisksAccessed: 1
         - NumScannerThreadsStarted: 1
         - PeakMemoryUsage: 68.25 MB
         - PerReadThreadRawHdfsThroughput: 1.40 GB/sec
         - RowsRead: 1.44M (1440202)
         - RowsReturned: 824.30K (824299)
         - RowsReturnedRate: 1.48 M/sec
         - ScanRangesComplete: 1
         - ScannerThreadsInvoluntaryContextSwitches: 785
         - ScannerThreadsTotalWallClockTime: 964.767ms
           - DelimiterParseTime: 538.32ms
           - MaterializeTupleTime(*): 102.897ms
           - ScannerThreadsSysTime: 38.0ms
           - ScannerThreadsUserTime: 732.0ms
         - ScannerThreadsVoluntaryContextSwitches: 11
         - TotalRawHdfsReadTime(*): 130.725ms
         - TotalReadThroughput: 52.80 MB/sec
    Averaged Fragment 4:(Active: 110.52ms, % non-child: 0.00%)
      split sizes:  min: 148.10 KB, max: 148.10 KB, avg: 148.10 KB, stddev: 0.00 
      completion times: min:586.357ms  max:586.357ms  mean: 586.357ms  stddev:0ns
      execution rates: min:252.57 KB/sec  max:252.57 KB/sec  mean:252.57 KB/sec  stddev:0.00 /sec
      num instances: 1
       - AverageThreadTokens: 2.00 
       - PeakMemoryUsage: 317.00 KB
       - PrepareTime: 7.795ms
       - RowsProduced: 520
       - TotalCpuTime: 505.795ms
       - TotalNetworkWaitTime: 529.554us
       - TotalStorageWaitTime: 2.460ms
      CodeGen:(Active: 279.787ms, % non-child: 100.00%)
         - CodegenTime: 7.791ms
         - CompileTime: 268.398ms
         - LoadTime: 9.705ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=13):(Active: 932.669us, % non-child: 0.85%)
         - BytesSent: 9.21 KB
         - NetworkThroughput(*): 6.48 MB/sec
         - OverallThroughput: 9.64 MB/sec
         - PeakMemoryUsage: 8.00 KB
         - SerializeBatchTime: 167.125us
         - ThriftTransmitTime(*): 1.387ms
         - UncompressedRowBatchSize: 21.34 KB
      HDFS_SCAN_NODE (id=3):(Active: 108.803ms, % non-child: 98.87%)
         - AverageHdfsReadThreadConcurrency: 0.00 
         - AverageScannerThreadConcurrency: 1.00 
         - BytesRead: 148.10 KB
         - BytesReadLocal: 148.10 KB
         - BytesReadShortCircuit: 148.10 KB
         - NumDisksAccessed: 1
         - NumScannerThreadsStarted: 1
         - PeakMemoryUsage: 301.00 KB
         - PerReadThreadRawHdfsThroughput: 1.43 GB/sec
         - RowsRead: 7.20K (7200)
         - RowsReturned: 520
         - RowsReturnedRate: 4.78 K/sec
         - ScanRangesComplete: 1
         - ScannerThreadsInvoluntaryContextSwitches: 18
         - ScannerThreadsTotalWallClockTime: 108.897ms
           - DelimiterParseTime: 557.666us
           - MaterializeTupleTime(*): 239.925us
           - ScannerThreadsSysTime: 0ns
           - ScannerThreadsUserTime: 104.0ms
         - ScannerThreadsVoluntaryContextSwitches: 1
         - TotalRawHdfsReadTime(*): 98.548us
         - TotalReadThroughput: 296.20 KB/sec
    Averaged Fragment 5:(Active: 78.358ms, % non-child: 0.00%)
      split sizes:  min: 3.08 KB, max: 3.08 KB, avg: 3.08 KB, stddev: 0.00 
      completion times: min:295.924ms  max:295.924ms  mean: 295.924ms  stddev:0ns
      execution rates: min:10.41 KB/sec  max:10.41 KB/sec  mean:10.41 KB/sec  stddev:0.00 /sec
      num instances: 1
       - AverageThreadTokens: 1.00 
       - PeakMemoryUsage: 59.66 KB
       - PrepareTime: 6.645ms
       - RowsProduced: 12
       - TotalCpuTime: 443.174ms
       - TotalNetworkWaitTime: 571.257us
       - TotalStorageWaitTime: 2.605ms
      CodeGen:(Active: 281.560ms, % non-child: 100.00%)
         - CodegenTime: 6.545ms
         - CompileTime: 269.591ms
         - LoadTime: 10.127ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=12):(Active: 426.997us, % non-child: 0.54%)
         - BytesSent: 211.00 B
         - NetworkThroughput(*): 138.21 KB/sec
         - OverallThroughput: 482.57 KB/sec
         - PeakMemoryUsage: 10.66 KB
         - SerializeBatchTime: 22.977us
         - ThriftTransmitTime(*): 1.490ms
         - UncompressedRowBatchSize: 548.00 B
      HDFS_SCAN_NODE (id=2):(Active: 77.639ms, % non-child: 99.08%)
         - AverageHdfsReadThreadConcurrency: 0.00 
         - AverageScannerThreadConcurrency: 0.00 
         - BytesRead: 3.08 KB
         - BytesReadLocal: 3.08 KB
         - BytesReadShortCircuit: 3.08 KB
         - NumDisksAccessed: 1
         - NumScannerThreadsStarted: 1
         - PeakMemoryUsage: 41.00 KB
         - PerReadThreadRawHdfsThroughput: 48.77 MB/sec
         - RowsRead: 12
         - RowsReturned: 12
         - RowsReturnedRate: 154.00 /sec
         - ScanRangesComplete: 1
         - ScannerThreadsInvoluntaryContextSwitches: 22
         - ScannerThreadsTotalWallClockTime: 77.715ms
           - DelimiterParseTime: 10.968us
           - MaterializeTupleTime(*): 3.903us
           - ScannerThreadsSysTime: 0ns
           - ScannerThreadsUserTime: 72.0ms
         - ScannerThreadsVoluntaryContextSwitches: 1
         - TotalRawHdfsReadTime(*): 61.700us
         - TotalReadThroughput: 0.00 /sec
    Averaged Fragment 6:(Active: 127.378ms, % non-child: 0.00%)
      split sizes:  min: 9.84 MB, max: 9.84 MB, avg: 9.84 MB, stddev: 0.00 
      completion times: min:129.119ms  max:129.119ms  mean: 129.119ms  stddev:0ns
      execution rates: min:76.20 MB/sec  max:76.20 MB/sec  mean:76.20 MB/sec  stddev:0.00 /sec
      num instances: 1
       - AverageThreadTokens: 0.00 
       - PeakMemoryUsage: 10.05 MB
       - PrepareTime: 8.414ms
       - RowsProduced: 251
       - TotalCpuTime: 544.915ms
       - TotalNetworkWaitTime: 934.591us
       - TotalStorageWaitTime: 3.538ms
      CodeGen:(Active: 280.763ms, % non-child: 100.00%)
         - CodegenTime: 8.317ms
         - CompileTime: 269.939ms
         - LoadTime: 9.177ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=11):(Active: 712.984us, % non-child: 0.56%)
         - BytesSent: 2.66 KB
         - NetworkThroughput(*): 1.47 MB/sec
         - OverallThroughput: 3.64 MB/sec
         - PeakMemoryUsage: 16.00 KB
         - SerializeBatchTime: 47.881us
         - ThriftTransmitTime(*): 1.768ms
         - UncompressedRowBatchSize: 4.91 KB
      HDFS_SCAN_NODE (id=1):(Active: 126.388ms, % non-child: 99.22%)
         - AverageHdfsReadThreadConcurrency: 0.00 
         - AverageScannerThreadConcurrency: 0.00 
         - BytesRead: 9.84 MB
         - BytesReadLocal: 9.84 MB
         - BytesReadShortCircuit: 9.84 MB
         - NumDisksAccessed: 1
         - NumScannerThreadsStarted: 1
         - PeakMemoryUsage: 10.03 MB
         - PerReadThreadRawHdfsThroughput: 1.50 GB/sec
         - RowsRead: 73.05K (73049)
         - RowsReturned: 251
         - RowsReturnedRate: 1.99 K/sec
         - ScanRangesComplete: 1
         - ScannerThreadsInvoluntaryContextSwitches: 15
         - ScannerThreadsTotalWallClockTime: 126.499ms
           - DelimiterParseTime: 24.118ms
           - MaterializeTupleTime(*): 2.307ms
           - ScannerThreadsSysTime: 0ns
           - ScannerThreadsUserTime: 120.0ms
         - ScannerThreadsVoluntaryContextSwitches: 1
         - TotalRawHdfsReadTime(*): 6.422ms
         - TotalReadThroughput: 0.00 /sec
    Fragment 1:
      Instance a495707dd407ad2:a1a93b0b89ddb899 (host=ip-10-9-186-46.ec2.internal:22000):(Active: 2s753ms, % non-child: 0.00%)
        MemoryUsage(500.0ms): 98.66 KB, 10.39 MB, 13.47 MB, 13.47 MB, 13.47 MB, 13.47 MB
        ThreadUsage(500.0ms): 1, 2, 1, 1, 1, 1
         - AverageThreadTokens: 1.17 
         - PeakMemoryUsage: 13.58 MB
         - PrepareTime: 8.445ms
         - RowsProduced: 107
         - TotalCpuTime: 494.737ms
         - TotalNetworkWaitTime: 3s230ms
         - TotalStorageWaitTime: 0ns
        CodeGen:(Active: 378.679ms, % non-child: 13.75%)
           - CodegenTime: 3.551ms
           - CompileTime: 363.656ms
           - LoadTime: 13.250ms
           - ModuleFileSize: 110.43 KB
        DataStreamSender (dst_id=17):(Active: 164.204us, % non-child: 0.01%)
           - BytesSent: 7.72 KB
           - NetworkThroughput(*): 11.91 MB/sec
           - OverallThroughput: 45.92 MB/sec
           - PeakMemoryUsage: 2.66 KB
           - SerializeBatchTime: 122.794us
           - ThriftTransmitTime(*): 633.402us
           - UncompressedRowBatchSize: 12.62 KB
        SORT_NODE (id=10):(Active: 2s753ms, % non-child: 0.01%)
           - PeakMemoryUsage: 44.00 KB
           - RowsReturned: 107
           - RowsReturnedRate: 38.00 /sec
        HASH_JOIN_NODE (id=9):(Active: 2s752ms, % non-child: 0.00%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled, Join Build-Side Prepared Asynchronously
           - BuildBuckets: 262.14K (262144)
           - BuildRows: 100.00K (100000)
           - BuildTime: 14.221ms
           - LeftChildRows: 107
           - LeftChildTime: 47.584us
           - LoadFactor: 0.38 
           - PeakMemoryUsage: 13.42 MB
           - RowsReturned: 107
           - RowsReturnedRate: 38.00 /sec
          EXCHANGE_NODE (id=16):(Active: 480.122ms, % non-child: 17.44%)
             - BytesReceived: 5.29 MB
             - ConvertRowBatchTime: 2.173ms
             - DataArrivalWaitTime: 476.577ms
             - DeserializeRowBatchTimer: 24.480ms
             - FirstBatchArrivalWaitTime: 274.990ms
             - PeakMemoryUsage: 103.88 KB
             - RowsReturned: 100.00K (100000)
             - RowsReturnedRate: 208.28 K/sec
             - SendersBlockedTimer: 0ns
             - SendersBlockedTotalTimer(*): 0ns
        AGGREGATION_NODE (id=15):(Active: 2s756ms, % non-child: 0.13%)
          ExecOption: Codegen Enabled
           - BuildBuckets: 1.02K (1024)
           - BuildTime: 189.100us
           - GetResultsTime: 77.447us
           - LoadFactor: 0.70 
           - PeakMemoryUsage: 131.98 KB
           - RowsReturned: 107
           - RowsReturnedRate: 38.00 /sec
        EXCHANGE_NODE (id=14):(Active: 2s752ms, % non-child: 99.97%)
           - BytesReceived: 19.13 KB
           - ConvertRowBatchTime: 35.483us
           - DataArrivalWaitTime: 2s752ms
           - DeserializeRowBatchTimer: 136.286us
           - FirstBatchArrivalWaitTime: 2s563ms
           - PeakMemoryUsage: 25.02 KB
           - RowsReturned: 1.24K (1242)
           - RowsReturnedRate: 451.00 /sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
      Instance a495707dd407ad2:a1a93b0b89ddb89a (host=ip-10-9-135-106.ec2.internal:22000):(Active: 2s736ms, % non-child: 0.00%)
        MemoryUsage(500.0ms): 98.66 KB, 8.78 MB, 13.47 MB, 13.47 MB, 13.47 MB, 13.47 MB
        ThreadUsage(500.0ms): 1, 2, 1, 1, 1, 1
         - AverageThreadTokens: 1.17 
         - PeakMemoryUsage: 13.58 MB
         - PrepareTime: 8.275ms
         - RowsProduced: 90
         - TotalCpuTime: 475.891ms
         - TotalNetworkWaitTime: 3s194ms
         - TotalStorageWaitTime: 0ns
        CodeGen:(Active: 397.381ms, % non-child: 14.52%)
           - CodegenTime: 3.535ms
           - CompileTime: 385.383ms
           - LoadTime: 10.222ms
           - ModuleFileSize: 110.43 KB
        DataStreamSender (dst_id=17):(Active: 165.868us, % non-child: 0.01%)
           - BytesSent: 6.43 KB
           - NetworkThroughput(*): 11.49 MB/sec
           - OverallThroughput: 37.84 MB/sec
           - PeakMemoryUsage: 2.66 KB
           - SerializeBatchTime: 123.346us
           - ThriftTransmitTime(*): 546.430us
           - UncompressedRowBatchSize: 10.50 KB
        SORT_NODE (id=10):(Active: 2s736ms, % non-child: 0.01%)
           - PeakMemoryUsage: 44.00 KB
           - RowsReturned: 90
           - RowsReturnedRate: 32.00 /sec
        HASH_JOIN_NODE (id=9):(Active: 2s736ms, % non-child: 0.00%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled, Join Build-Side Prepared Asynchronously
           - BuildBuckets: 262.14K (262144)
           - BuildRows: 100.00K (100000)
           - BuildTime: 14.561ms
           - LeftChildRows: 90
           - LeftChildTime: 42.117us
           - LoadFactor: 0.38 
           - PeakMemoryUsage: 13.42 MB
           - RowsReturned: 90
           - RowsReturnedRate: 32.00 /sec
          EXCHANGE_NODE (id=16):(Active: 460.907ms, % non-child: 16.84%)
             - BytesReceived: 5.29 MB
             - ConvertRowBatchTime: 2.184ms
             - DataArrivalWaitTime: 457.293ms
             - DeserializeRowBatchTimer: 24.383ms
             - FirstBatchArrivalWaitTime: 255.738ms
             - PeakMemoryUsage: 103.88 KB
             - RowsReturned: 100.00K (100000)
             - RowsReturnedRate: 216.96 K/sec
             - SendersBlockedTimer: 0ns
             - SendersBlockedTotalTimer(*): 0ns
        AGGREGATION_NODE (id=15):(Active: 2s739ms, % non-child: 0.13%)
          ExecOption: Codegen Enabled
           - BuildBuckets: 1.02K (1024)
           - BuildTime: 194.601us
           - GetResultsTime: 78.447us
           - LoadFactor: 0.71 
           - PeakMemoryUsage: 131.98 KB
           - RowsReturned: 90
           - RowsReturnedRate: 32.00 /sec
        EXCHANGE_NODE (id=14):(Active: 2s735ms, % non-child: 99.97%)
           - BytesReceived: 19.71 KB
           - ConvertRowBatchTime: 36.317us
           - DataArrivalWaitTime: 2s735ms
           - DeserializeRowBatchTimer: 108.503us
           - FirstBatchArrivalWaitTime: 2s546ms
           - PeakMemoryUsage: 24.72 KB
           - RowsReturned: 1.28K (1280)
           - RowsReturnedRate: 467.00 /sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
    Fragment 2:
      Instance a495707dd407ad2:a1a93b0b89ddb89b (host=ip-10-9-135-106.ec2.internal:22000):(Active: 263.992ms, % non-child: 0.00%)
        Hdfs split stats (<volume id>:<# splits>/<split lengths>): -1:1/12.60 MB 
        MemoryUsage(500.0ms): 10.04 MB
        ThreadUsage(500.0ms): 1
         - AverageThreadTokens: 1.00 
         - PeakMemoryUsage: 18.66 MB
         - PrepareTime: 3.473ms
         - RowsProduced: 100.00K (100000)
         - TotalCpuTime: 644.887ms
         - TotalNetworkWaitTime: 18.584ms
         - TotalStorageWaitTime: 4.84ms
        CodeGen:(Active: 205.497ms, % non-child: 77.84%)
           - CodegenTime: 3.672ms
           - CompileTime: 192.636ms
           - LoadTime: 11.142ms
           - ModuleFileSize: 110.43 KB
        DataStreamSender (dst_id=16):(Active: 197.900ms, % non-child: 74.96%)
           - BytesSent: 5.29 MB
           - NetworkThroughput(*): 22.34 MB/sec
           - OverallThroughput: 26.71 MB/sec
           - PeakMemoryUsage: 3.55 KB
           - SerializeBatchTime: 85.443ms
           - ThriftTransmitTime(*): 236.593ms
           - UncompressedRowBatchSize: 8.74 MB
        HDFS_SCAN_NODE (id=8):(Active: 48.428ms, % non-child: 18.34%)
          ExecOption: Missing Volume Id, Codegen enabled: 1 out of 1
          Hdfs split stats (<volume id>:<# splits>/<split lengths>): -1:1/12.60 MB 
          Hdfs Read Thread Concurrency Bucket: 0:100% 1:0% 2:0% 3:0% 
          File Formats: TEXT/NONE:1 
           - AverageHdfsReadThreadConcurrency: 0.00 
           - AverageScannerThreadConcurrency: 0.00 
           - BytesRead: 12.60 MB
           - BytesReadLocal: 12.60 MB
           - BytesReadShortCircuit: 12.60 MB
           - NumDisksAccessed: 1
           - NumScannerThreadsStarted: 1
           - PeakMemoryUsage: 18.64 MB
           - PerReadThreadRawHdfsThroughput: 1.71 GB/sec
           - RowsRead: 100.00K (100000)
           - RowsReturned: 100.00K (100000)
           - RowsReturnedRate: 2.06 M/sec
           - ScanRangesComplete: 1
           - ScannerThreadsInvoluntaryContextSwitches: 43
           - ScannerThreadsTotalWallClockTime: 192.114ms
             - DelimiterParseTime: 37.265ms
             - MaterializeTupleTime(*): 5.520ms
             - ScannerThreadsSysTime: 4.0ms
             - ScannerThreadsUserTime: 72.0ms
           - ScannerThreadsVoluntaryContextSwitches: 114
           - TotalRawHdfsReadTime(*): 7.213ms
           - TotalReadThroughput: 25.19 MB/sec
    Fragment 3:
      Instance a495707dd407ad2:a1a93b0b89ddb89c (host=ip-10-9-186-46.ec2.internal:22000):(Active: 1s734ms, % non-child: 0.00%)
        Hdfs split stats (<volume id>:<# splits>/<split lengths>): -1:2/242.45 MB 
        MemoryUsage(500.0ms): 242.66 KB, 242.66 KB, 266.66 KB, 273.95 KB, 49.28 MB
        ThreadUsage(500.0ms): 1, 1, 3, 1, 3
         - AverageThreadTokens: 1.80 
         - PeakMemoryUsage: 89.56 MB
         - PrepareTime: 26.441ms
         - RowsProduced: 1.61K (1611)
         - TotalCpuTime: 2s742ms
         - TotalNetworkWaitTime: 2s233ms
         - TotalStorageWaitTime: 37.998ms
        CodeGen:(Active: 758.503ms, % non-child: 43.73%)
           - CodegenTime: 12.398ms
           - CompileTime: 747.126ms
           - LoadTime: 9.669ms
           - ModuleFileSize: 110.43 KB
        DataStreamSender (dst_id=14):(Active: 576.717us, % non-child: 0.03%)
           - BytesSent: 24.83 KB
           - NetworkThroughput(*): 12.11 MB/sec
           - OverallThroughput: 42.05 MB/sec
           - PeakMemoryUsage: 66.66 KB
           - SerializeBatchTime: 326.364us
           - ThriftTransmitTime(*): 2.1ms
           - UncompressedRowBatchSize: 44.07 KB
        AGGREGATION_NODE (id=7):(Active: 1s736ms, % non-child: 0.27%)
          ExecOption: Codegen Enabled
           - BuildBuckets: 2.05K (2048)
           - BuildTime: 1.804ms
           - GetResultsTime: 78.386us
           - LoadFactor: 0.54 
           - PeakMemoryUsage: 1.99 MB
           - RowsReturned: 1.61K (1611)
           - RowsReturnedRate: 927.00 /sec
        HASH_JOIN_NODE (id=6):(Active: 1s732ms, % non-child: 0.00%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled, Join Build-Side Prepared Asynchronously
           - BuildBuckets: 1.02K (1024)
           - BuildRows: 520
           - BuildTime: 22.650us
           - LeftChildRows: 238.72K (238718)
           - LeftChildTime: 5.478ms
           - LoadFactor: 0.44 
           - PeakMemoryUsage: 323.30 KB
           - RowsReturned: 16.64K (16639)
           - RowsReturnedRate: 9.61 K/sec
          EXCHANGE_NODE (id=13):(Active: 456.959ms, % non-child: 26.34%)
             - BytesReceived: 9.21 KB
             - ConvertRowBatchTime: 14.641us
             - DataArrivalWaitTime: 456.922ms
             - DeserializeRowBatchTimer: 58.367us
             - FirstBatchArrivalWaitTime: 456.232ms
             - PeakMemoryUsage: 23.36 KB
             - RowsReturned: 520
             - RowsReturnedRate: 1.14 K/sec
             - SendersBlockedTimer: 0ns
             - SendersBlockedTotalTimer(*): 0ns
        HASH_JOIN_NODE (id=5):(Active: 1s725ms, % non-child: 0.00%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled, Join Build-Side Prepared Asynchronously
           - BuildBuckets: 1.02K (1024)
           - BuildRows: 12
           - BuildTime: 7.9us
           - LeftChildRows: 244.48K (244482)
           - LeftChildTime: 7.717ms
           - LoadFactor: 0.01 
           - PeakMemoryUsage: 216.00 KB
           - RowsReturned: 238.72K (238718)
           - RowsReturnedRate: 138.35 K/sec
          EXCHANGE_NODE (id=12):(Active: 715.269ms, % non-child: 41.24%)
             - BytesReceived: 207.00 B
             - ConvertRowBatchTime: 3.937us
             - DataArrivalWaitTime: 715.245ms
             - DeserializeRowBatchTimer: 9.553us
             - FirstBatchArrivalWaitTime: 714.530ms
             - PeakMemoryUsage: 4.09 KB
             - RowsReturned: 12
             - RowsReturnedRate: 16.00 /sec
             - SendersBlockedTimer: 0ns
             - SendersBlockedTotalTimer(*): 0ns
        HASH_JOIN_NODE (id=4):(Active: 1s716ms, % non-child: 1.72%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled
           - BuildBuckets: 1.02K (1024)
           - BuildRows: 251
           - BuildTime: 16.927us
           - LeftChildRows: 1.08M (1075096)
           - LeftChildTime: 24.974ms
           - LoadFactor: 0.19 
           - PeakMemoryUsage: 140.00 KB
           - RowsReturned: 244.48K (244482)
           - RowsReturnedRate: 142.46 K/sec
          EXCHANGE_NODE (id=11):(Active: 1s060ms, % non-child: 61.11%)
             - BytesReceived: 2.66 KB
             - ConvertRowBatchTime: 9.80us
             - DataArrivalWaitTime: 1s060ms
             - DeserializeRowBatchTimer: 14.881us
             - FirstBatchArrivalWaitTime: 1s059ms
             - PeakMemoryUsage: 5.96 KB
             - RowsReturned: 251
             - RowsReturnedRate: 236.00 /sec
             - SendersBlockedTimer: 0ns
             - SendersBlockedTotalTimer(*): 0ns
        HDFS_SCAN_NODE (id=0):(Active: 626.372ms, % non-child: 36.11%)
          ExecOption: Missing Volume Id, Codegen enabled: 2 out of 2
          Hdfs split stats (<volume id>:<# splits>/<split lengths>): -1:2/242.45 MB 
          Hdfs Read Thread Concurrency Bucket: 0:100% 1:0% 2:0% 3:0% 
          File Formats: TEXT/NONE:2 
           - AverageHdfsReadThreadConcurrency: 0.00 
           - AverageScannerThreadConcurrency: 2.00 
           - BytesRead: 242.45 MB
           - BytesReadLocal: 242.45 MB
           - BytesReadShortCircuit: 242.45 MB
           - NumDisksAccessed: 2
           - NumScannerThreadsStarted: 2
           - PeakMemoryUsage: 88.45 MB
           - PerReadThreadRawHdfsThroughput: 1.36 GB/sec
           - RowsRead: 1.88M (1880416)
           - RowsReturned: 1.08M (1075096)
           - RowsReturnedRate: 1.72 M/sec
           - ScanRangesComplete: 2
           - ScannerThreadsInvoluntaryContextSwitches: 1.54K (1542)
           - ScannerThreadsTotalWallClockTime: 1s317ms
             - DelimiterParseTime: 736.885ms
             - MaterializeTupleTime(*): 138.843ms
             - ScannerThreadsSysTime: 52.0ms
             - ScannerThreadsUserTime: 908.0ms
           - ScannerThreadsVoluntaryContextSwitches: 20
           - TotalRawHdfsReadTime(*): 174.539ms
           - TotalReadThroughput: 60.80 MB/sec
      Instance a495707dd407ad2:a1a93b0b89ddb89d (host=ip-10-9-135-106.ec2.internal:22000):(Active: 1s489ms, % non-child: 0.00%)
        Hdfs split stats (<volume id>:<# splits>/<split lengths>): -1:1/128.00 MB 
        MemoryUsage(500.0ms): 242.66 KB, 242.66 KB, 258.66 KB, 273.95 KB, 24.62 MB
        ThreadUsage(500.0ms): 1, 1, 2, 2, 2
         - AverageThreadTokens: 1.60 
         - PeakMemoryUsage: 49.17 MB
         - PrepareTime: 40.815ms
         - RowsProduced: 911
         - TotalCpuTime: 2s265ms
         - TotalNetworkWaitTime: 1s405ms
         - TotalStorageWaitTime: 18.954ms
        CodeGen:(Active: 795.75ms, % non-child: 53.39%)
           - CodegenTime: 12.818ms
           - CompileTime: 774.162ms
           - LoadTime: 19.177ms
           - ModuleFileSize: 110.43 KB
        DataStreamSender (dst_id=14):(Active: 147.871us, % non-child: 0.01%)
           - BytesSent: 14.01 KB
           - NetworkThroughput(*): 16.26 MB/sec
           - OverallThroughput: 92.52 MB/sec
           - PeakMemoryUsage: 34.66 KB
           - SerializeBatchTime: 195.876us
           - ThriftTransmitTime(*): 841.274us
           - UncompressedRowBatchSize: 24.92 KB
        AGGREGATION_NODE (id=7):(Active: 1s492ms, % non-child: 0.29%)
          ExecOption: Codegen Enabled
           - BuildBuckets: 1.02K (1024)
           - BuildTime: 980.596us
           - GetResultsTime: 52.261us
           - LoadFactor: 0.58 
           - PeakMemoryUsage: 1.82 MB
           - RowsReturned: 911
           - RowsReturnedRate: 610.00 /sec
        HASH_JOIN_NODE (id=6):(Active: 1s487ms, % non-child: 0.00%)
          ExecOption: Build Side Codegen Enabled, Probe Side Codegen Enabled, Join Build-Side Prepared Asynchronously
           - BuildBuckets: 1.02K (1024)
           - BuildRows: 520
           - BuildTime: 24.910us
           - LeftChildRows: 128.54K (128545)
